doi,sentence
10/1007_s42114_025_01274_5_aromatic_polyaminegrafted_and_nitrogendoped_graphene,"For the Na-ion full-cells, the cathode was assembled by mixing 96 wt% commercial Na 2 Fe(SO 4 ) 2 , 2 wt% acetylene black, and 2 wt% poly(vinylidene fluoride) (PVDF) as binder coated on aluminum foil."
10/1016_j_ensm_2022_12_042_tailoring_solidelectrolyte_interphase_and_solvation,"Although many sodium-ion anodes have been reported, achieving high ICE and fast charging capability is challenging, especially at low temperatures ."
10/1038_s41467_024_45460_3_electron_paramagnetic_resonance_as_a,"Typically, the slope capacity has been associated with the presence of surface groups and defects in HC 15,26 , although recent mechanistic studies on hydrothermal carbons suggested that sodium intercalation also occurred at the slope region 17 ."
10/1038_s42004_018_0084_1_dandelionshaped_manganese_sulfide_in_etherbased,A sodium-ion full-cell with dandelion MnS as the anode and a Na 3 V 2 (PO 4 ) 3 @C (NVP@C) composite as the cathode was also studied herein.
10/20517_energymater_2024_306_recent_research_progress_in_the,Komayko et al. investigated the effects of two different intercalation approaches on the performance of SIB cathode materials at low temperatures and high discharge current limits [Figure 8B].
10/20517_microstructures_2023_102_nadeficient_p2type_layered_oxide_cathodes,"Various methods such as electrochemical pre-sodiation , direct sodium foil contact , anode pre-sodiation , cathode oversodiation , self-sacrificial sodiation additives have been explored to solve the Na + inventory problem for different types of SIB cathode chemistries."
10/1051_matecconf_202338807009_machine_learning_models_for_predicting,"In this work, machine learning regression techniques are applied to a large amount of data from Materials Project Database, to develop machine learning models capable of accurately predicting the densities of sodium-ion battery cathode materials."
10/7251_comen2201001m_the_novelties_in_the_development,Deng et al reported also an all-organic Na-ion battery with polymeric electrodes.
10/1038_s41467_018_03257_1_monovalent_manganese_based_anodes_and,"We report a Na-ion battery full-cell system based on a novel MnHCMn(II/I) anode, CuHCF cathode, and an organic-aqueous cosolvent Na + electrolyte."
10/1038_s41467_025_59707_0_engineering_twin_structures_and_substitutional,"Moreover, calculation results show that with the increase of twin boundaries (TBs), the sodium diffusion energy barrier is greatly reduced, which helps the kinetics of sodium ion diffusion."
10/20517_energymater_2023_63_constructing_threedimensional_architectures_to_design,"In recent years, hard carbon has grown to be the most widely used anode for SIBs due to its ideal sodium storage platform (~0.1 V) and high specific capacity ."
10/1039_d5ra01549a_a_comprehensive_exploration_of_nasupsup,Scandium-substituted Na 1+x+y Sc y Zr 2-y Si x P 3-x O 12 NaSICONs have emerged as promising electrolyte materials for all-solid-state sodium batteries.
10/1039_d5ra05188f_controlled_formation_of_closedpore_structures,"In the third stage, when the potential drops below 0.05 V, D Na + increases again, indicating the gradual lling of closed pores or defect-rich regions by sodium ions."
10/1038_s41467_025_57378_5_unravelling_the_structurestability_interplay_of,"Figure 5e calculates that the migration energy barriers for Ni in the Na0.55 structure is 4.145 eV within the TM layer and 4.704 eV toward the interstitial tetrahedral 3b positions in the Na layer, which are significantly higher than those of 3.675 eV and 4.297 eV in Na1 (Fig. 5f)."
10/1039_d2ta05971a_unveiling_a_high_capacity_multiredox,"The scanning electron microscopy (SEM) image of NASICON-Nb 2 (PO 4 ) 3 (inset of Fig. 1a) shows the presence of irregular micron-sized (∼10 mm) primary particles and elemental mapping shows the homogeneous distribution of Nb, P, and O in the sample (Fig."
10/1039_d4sc01395f_pdoped_spherical_hard_carbon_with,"By employing the cross-linked interaction between glucose and phytic acid to achieve the in situ P doped spherical hard carbon, the obtained PHC-0.2 possesses a large interlayer space that facilitates Na + storage and transportation."
10/33961_jecst_2019_00633_triclinic_na312co244p2o72_as_a_high,We believe that the high energy density of Na-ion batteries can be achieved with Na 3.12 Co 2.44 (P 2 O 7 ) 2 if stable electrolytes above 4.5 V vs.
10/26599_jac_2023_9220738_improving_ionic_conductivity_of_vonalpentype,"Therefore, various studies were conducted to improve the ionic conductivities of the NASICON compounds."
10/1038_s41467_025_59707_0_engineering_twin_structures_and_substitutional,"ZnSe 0.7 Te 0.3 @C electrode shows significantly superior sodium storage properties to the pristine ZnSe@C electrode, including a higher capacity (5 A g -1 ; 307 mAh g -1 vs 118.8 mAh g -1 after 1000 cycles), better rate performance (20 A g -1 ; 256.2 vs 121.5 mAh g -1 )."
10/1038_s41467_025_59707_0_engineering_twin_structures_and_substitutional,"NaPF 6 , as a conventional sodium electrolyte salt, has good ionic conductivity 30 ."
10/1038_s41467_025_58637_1_highenergy_and_longlife_o3type_layered,"The corresponding Rietveld-refined XRD pattern reveals lattice parameters of a = 2.967 Å, c = 16.009 Å, and V = 122.069 Å 3 for NFMMT/NaCaPO 4 , with a structure consisting of 98.6% O3 phase and 1.4% P2-type phase (Fig. 1b)."
10/1039_d5ra00119f_yolkshell_snse_sub2sub_nc_nanocubes,"The electrode's reaction kinetics and sodium storage mechanism can be explored by using the relationship between the measured current (i) and the related scanning rate (v): in which a is a constant, and b is a constant for the same reaction and has to do with the energy storage reaction's starting components."
10/1038_s41467_024_44855_6_alkalinebased_aqueous_sodiumion_batteries_for,"Here we report a hydrogen-free alkaline ASIB based on a Mnbased PBA cathode (Na 2 MnFe(CN) 6 , NMF), NaTi 2 (PO 4 ) 3 (NTP) anode, and an affordable alkaline electrolyte of fluorine-free sodium perchlorate (NaClO 4 ) where cost is significantly less than commonly-used sodium triflate and sodium bis(trifluoromethylsulfonyl)imide in highly concentrated electrolytes."
10/1038_s41467_024_47522_y_consummating_ion_desolvation_in_hard,"Furthermore, we analyzed the time-dependent solvation structure evolution in hard carbons by in situ Raman spectroscopy (Fig. 3f)."
10/1039_d0ta10960f_sodium_storage_with_high_plateau,These differences can lead to the detection of pores with carbon dioxide that remain inaccessible for nitrogen but can still be suitable for sodium storage.
10/1039_c7ta09924j_enhanced_alkaline_stability_in_a,"The ability to extend NaSICON's operating pH range would enable ionic separations in caustic sodas, rechargeable alkaline batteries, and signicantly expand the design space for redox ow batteries or separations."
10/1038_s41467_025_65250_9_a_layered_prussian_blue_analogue,"Prussian blue analogues (PBAs) represent a class of low-cost electrode materials with open frameworks capable of accommodating various ions 1,2 ."
10/1038_ncomms7865_radially_aligned_hierarchical_columnar_structure,Delivery of high capacity with good retention is a challenge in developing cathodes for rechargeable sodium-ion batteries.
10/1039_d4ta05924g_redox_and_structural_stability_for,The previous studies reveal that phase modulation and high-entropy strategies effectively address the slow kinetics of sodium ion transport and the complexity of phase transitions in layered manganese-based materials. The interlocking effect between phase boundaries in O3/P2 phase manganese-based materials designed by phase modulation can generate forces that inhibit the sliding of TMO 2 slabs.
10/1039_c9ra03345a_facile_synthesis_of_icamellia_oleiferai,"However, aer a high-current-density cycle, the COSDHC900-1 sample returns to a small current of 0.1 A g À1 , and the capacity decreases to some extent (424 mA h g À1 ), which may be caused by the typical characteristics of biomass-derived hard carbon structures."
10/1039_d0ta03571h_tinbased_ionic_chaperone_phases_to,We demonstrate the dramatic lowering of overpotential in molten sodium symmetric cells with a NaSICON separator by the application of these Sn coatings.
10/1038_srep40036_fluorinefree_electrolytes_for_allsolid_sodiumion,"Three novel sodium salts withdiffuse negative charges: sodium pentacyanopropenide (NaPCPI), sodium 2,3,4,5-tetracyanopirolate (NaTCP) and sodium 2,4,5-tricyanoimidazolate (NaTIM) were designed andtested in a poly(ethylene oxide) (PEO) matrix as polymer electrolytes for anallsolid sodium-ion battery."
10/54097_9y8kjb55_research_progress_on_cathode_materials,Prussian blue and analogues (PBAs) are open framework structures formed by metal-cyanide coordination bonds and have enough space to accommodate sodium ions.
10/1038_s41598_024_53154_5_chloride_electrode_composed_of_ubiquitous,"Consequently, an outstanding energy density (281 Wh (kg-positive electrode) -1 ) was achieved for conventional bulk all-solid-state sodium-ion batteries without sintering or electrode coating treatment."
10/1007_s44246_024_00122_3_synthesis_strategies_and_obstacles_of,"Given the intricate compositions and composite nature of lignocellulosic materials, it becomes imperative to prioritize factors crucial for the fabrication of hard carbon anodes that exhibit enhanced sodium-ion storage capabilities."
10/1039_c8ra04210a_ceosub2submodified_p2nacomno_cathode_with_enhanced,"Sodium metal and celgard 2400 were used as the negative electrode and separator, respectively."
10/1002_adfm_201700856_oxygen_vacancies_evoked_blue_tiosub2subb,In situ X-ray diff-ractometer analysis spectra also confirm that an enlarged interlayer spacing stimulated by OVs is beneficial to accommodate insertion and removal of sodium ions to accelerate storage kinetics and preserve its original crystal structure.
10/1038_s41467_024_47522_y_consummating_ion_desolvation_in_hard,"In addition, the unique ultra-microporous structure of hard carbons makes its desolvation process and effects such as the impact on ICE and SEI formation completely different from those of microporous carbon in supercapacitors."
10/1007_s40820_021_00628_0_pancakelike_mof_solidstate_electrolytes_with,"This special wetting effect and good contact between PLM particles reduces the migration barrier of sodium ion, resulting in good compatibility between PLM@ LE and sodium metal."
10/15376_biores_20_1_235_247_twostep_synthesis_of_hard_carbons,"The Warburg slope line represents the diffusion capacity of sodium ions in the electrode, with a greater slope indicating a higher ion transport capacity (Moss et al. 2009;Nunes et al. 2024)."
10/1038_s42004_020_0257_6_understanding_the_redox_process_upon,The aim of this study is to understand the mechanism of redox activity of the P2-type cathode material Na 0.78 Co 1/2 Mn 1/3 Ni 1/6 O 2 .
10/1038_s41467_017_00211_5_alkaline_earth_metal_vanadates_as,"Herein, we demonstrate the outstanding electrochemical properties of alkaline earth metal vanadates (Ca-V-O and Sr-V-O) as SIB anodes."
